002102,002102.sz,冠福股份
002103,002103.sz,广博股份
002104,002104.sz,恒宝股份
002105,002105.sz,信隆实业
002106,002106.sz,莱宝高科
002107,002107.sz,沃华医药
002108,002108.sz,沧州明珠
002109,002109.sz,兴化股份
002110,002110.sz,三钢闽光
002111,002111.sz,威海广泰
002112,002112.sz,三变科技
002115,002115.sz,三维通信
002116,002116.sz,中国海诚
002117,002117.sz,东港股份
002118,002118.sz,紫鑫药业
002120,002120.sz,新海股份
002121,002121.sz,科陆电子
002124,002124.sz,天邦股份
002125,002125.sz,湘潭电化
002126,002126.sz,银轮股份
002128,002128.sz,露天煤业
002129,002129.sz,中环股份
002130,002130.sz,沃尔核材
002132,002132.sz,恒星科技
002133,002133.sz,广宇集团
002134,002134.sz,*ST普林
002135,002135.sz,东南网架
002136,002136.sz,安 纳 达
002138,002138.sz,顺络电子
002139,002139.sz,拓邦股份
002140,002140.sz,东华科技
002141,002141.sz,蓉胜超微
002142,002142.sz,宁波银行
002143,002143.sz,印纪传媒
002144,002144.sz,宏达高科
002145,002145.sz,中核钛白
002146,002146.sz,荣盛发展
002147,002147.sz,方圆支承
002148,002148.sz,北纬通信
002149,002149.sz,西部材料
002150,002150.sz,通润装备
002151,002151.sz,北斗星通
002152,002152.sz,广电运通
002153,002153.sz,石基信息
002154,002154.sz,报 喜 鸟
002155,002155.sz,辰州矿业
002156,002156.sz,通富微电
002157,002157.sz,正邦科技
002158,002158.sz,汉钟精机
002161,002161.sz,远 望 谷
002162,002162.sz,斯米克
002163,002163.sz,*ST三鑫
002164,002164.sz,宁波东力
002165,002165.sz,红 宝 丽
002166,002166.sz,莱茵生物
002167,002167.sz,东方锆业
002168,002168.sz,深圳惠程
002170,002170.sz,芭田股份
002172,002172.sz,澳洋科技
002175,002175.sz,广陆数测
002177,002177.sz,御银股份
002178,002178.sz,延华智能
002179,002179.sz,中航光电
002181,002181.sz,粤 传 媒
002182,002182.sz,云海金属
002183,002183.sz,怡 亚 通
002184,002184.sz,海得控制
002185,002185.sz,华天科技
002186,002186.sz,全 聚 德
002187,002187.sz,广百股份
002189,002189.sz,利达光电
002190,002190.sz,成飞集成
002191,002191.sz,劲嘉股份
002192,002192.sz,*ST路翔
002193,002193.sz,山东如意
002194,002194.sz,武汉凡谷
002195,002195.sz,二三四五
002197,002197.sz,证通电子
002198,002198.sz,嘉应制药
002199,002199.sz,东晶电子
002200,002200.sz,云投生态
002201,002201.sz,九鼎新材
002202,002202.sz,金风科技
002203,002203.sz,海亮股份
002204,002204.sz,大连重工
002205,002205.sz,国统股份
002206,002206.sz,海 利 得
002207,002207.sz,准油股份
002208,002208.sz,合肥城建
002209,002209.sz,达 意 隆
002210,002210.sz,飞马国际
002212,002212.sz,南洋股份
002213,002213.sz,特 尔 佳
002214,002214.sz,大立科技
002215,002215.sz,诺 普 信
002216,002216.sz,三全食品
002217,002217.sz,*ST合泰
002218,002218.sz,拓日新能
002219,002219.sz,恒康医疗
002220,002220.sz,天宝股份
002221,002221.sz,东华能源
002222,002222.sz,福晶科技
002223,002223.sz,鱼跃医疗
002224,002224.sz,三 力 士
002225,002225.sz,濮耐股份
002226,002226.sz,江南化工
002227,002227.sz,奥 特 迅
002228,002228.sz,合兴包装
002229,002229.sz,鸿博股份
002230,002230.sz,科大讯飞
002232,002232.sz,启明信息
002233,002233.sz,塔牌集团
002234,002234.sz,*ST民和
002235,002235.sz,安妮股份
002236,002236.sz,大华股份
002237,002237.sz,恒邦股份
002238,002238.sz,天威视讯
002239,002239.sz,金 飞 达
002240,002240.sz,威华股份
002241,002241.sz,歌尔声学
002242,002242.sz,九阳股份
002243,002243.sz,通产丽星
002244,002244.sz,滨江集团
002245,002245.sz,澳洋顺昌
002246,002246.sz,北化股份
002247,002247.sz,帝龙新材
002248,002248.sz,*ST东数
002250,002250.sz,联化科技
002251,002251.sz,步 步 高
002252,002252.sz,上海莱士
002253,002253.sz,川大智胜
002254,002254.sz,泰和新材
002256,002256.sz,彩虹精化
002258,002258.sz,利尔化学
002259,002259.sz,升达林业
002260,002260.sz,伊 立 浦
002262,002262.sz,恩华药业
002263,002263.sz,大 东 南
002265,002265.sz,西仪股份
002266,002266.sz,浙富控股
002267,002267.sz,陕天然气
002268,002268.sz,卫 士 通
002269,002269.sz,美邦服饰
002270,002270.sz,法因数控
002271,002271.sz,东方雨虹
002272,002272.sz,川润股份
002273,002273.sz,水晶光电
002274,002274.sz,华昌化工
002275,002275.sz,桂林三金
002276,002276.sz,万马股份
002277,002277.sz,友阿股份
002278,002278.sz,神开股份
002280,002280.sz,联络互动
002281,002281.sz,光迅科技
002282,002282.sz,博深工具
002283,002283.sz,天润曲轴
002284,002284.sz,亚太股份
002285,002285.sz,世联行
002286,002286.sz,保龄宝
002287,002287.sz,奇正藏药
002288,002288.sz,超华科技
002289,002289.sz,宇顺电子
002291,002291.sz,星期六
002292,002292.sz,奥飞动漫
002293,002293.sz,罗莱家纺
002294,002294.sz,信立泰
002295,002295.sz,精艺股份
002296,002296.sz,辉煌科技
002297,002297.sz,博云新材
002299,002299.sz,圣农发展
002300,002300.sz,太阳电缆
002302,002302.sz,西部建设
002303,002303.sz,美盈森
002304,002304.sz,洋河股份
002305,002305.sz,南国置业
002306,002306.sz,中科云网
002307,002307.sz,北新路桥
002308,002308.sz,威创股份
002309,002309.sz,中利科技
002310,002310.sz,东方园林
002311,002311.sz,海大集团
002312,002312.sz,三泰控股
002313,002313.sz,日海通讯
002314,002314.sz,雅致股份
002315,002315.sz,焦点科技
002318,002318.sz,久立特材
002320,002320.sz,海峡股份
002322,002322.sz,理工监测
002323,002323.sz,中联电气
002324,002324.sz,普利特
002325,002325.sz,洪涛股份
002326,002326.sz,永太科技
002327,002327.sz,富安娜
002328,002328.sz,新朋股份
002329,002329.sz,皇氏集团
002330,002330.sz,得利斯
002332,002332.sz,仙琚制药
002333,002333.sz,罗普斯金
002334,002334.sz,英威腾
002335,002335.sz,科华恒盛
002336,002336.sz,人人乐
002337,002337.sz,赛象科技
002338,002338.sz,奥普光电
002339,002339.sz,积成电子
002340,002340.sz,格林美
002341,002341.sz,新纶科技
002342,002342.sz,巨力索具
002343,002343.sz,禾欣股份
002344,002344.sz,海宁皮城
002345,002345.sz,潮宏基
002346,002346.sz,柘中股份
002347,002347.sz,泰尔重工
002348,002348.sz,高乐股份
002351,002351.sz,漫步者
002352,002352.sz,鼎泰新材
002353,002353.sz,杰瑞股份
002354,002354.sz,科冕木业
002355,002355.sz,兴民钢圈
002356,002356.sz,浩宁达
002357,002357.sz,富临运业
002358,002358.sz,森源电气
002360,002360.sz,同德化工
002362,002362.sz,汉王科技
002363,002363.sz,隆基机械
002364,002364.sz,中恒电气
002365,002365.sz,永安药业
002366,002366.sz,丹甫股份
002367,002367.sz,康力电梯
002368,002368.sz,太极股份
002369,002369.sz,卓翼科技
002370,002370.sz,亚太药业
002371,002371.sz,七星电子
002372,002372.sz,伟星新材
002373,002373.sz,千方科技
002375,002375.sz,亚厦股份
002377,002377.sz,国创高新
002378,002378.sz,章源钨业
002379,002379.sz,鲁丰环保
002380,002380.sz,科远股份
002381,002381.sz,双箭股份
002382,002382.sz,蓝帆医疗
002383,002383.sz,合众思壮
002384,002384.sz,东山精密
002385,002385.sz,大北农
002386,002386.sz,天原集团
002387,002387.sz,黑牛食品
002388,002388.sz,新亚制程
002389,002389.sz,南洋科技
002391,002391.sz,长青股份
002392,002392.sz,北京利尔
002393,002393.sz,力生制药
002394,002394.sz,联发股份
002395,002395.sz,双象股份
002396,002396.sz,星网锐捷
002397,002397.sz,梦洁家纺
002398,002398.sz,建研集团
002399,002399.sz,海普瑞
002400,002400.sz,省广股份
002401,002401.sz,中海科技
002402,002402.sz,和而泰
002403,002403.sz,爱仕达
002404,002404.sz,嘉欣丝绸
002405,002405.sz,四维图新
002406,002406.sz,远东传动
002407,002407.sz,多氟多
002409,002409.sz,雅克科技
002412,002412.sz,汉森制药
002413,002413.sz,常发股份
002414,002414.sz,高德红外
002415,002415.sz,海康威视
002416,002416.sz,爱施德
002418,002418.sz,康盛股份
002419,002419.sz,天虹商场
002420,002420.sz,毅昌股份
002422,002422.sz,科伦药业
002423,002423.sz,中原特钢
002424,002424.sz,贵州百灵
002426,002426.sz,胜利精密
002427,002427.sz,尤夫股份
002428,002428.sz,云南锗业
002429,002429.sz,兆驰股份
002430,002430.sz,杭氧股份
002431,002431.sz,棕榈园林
002432,002432.sz,九安医疗
002433,002433.sz,太安堂
002434,002434.sz,万里扬
002435,002435.sz,长江润发
002436,002436.sz,兴森科技
002437,002437.sz,誉衡药业
002438,002438.sz,江苏神通
002439,002439.sz,启明星辰
002440,002440.sz,闰土股份
002443,002443.sz,金洲管道
002444,002444.sz,巨星科技
002445,002445.sz,中南重工
002447,002447.sz,壹桥海参
002448,002448.sz,中原内配
002449,002449.sz,国星光电
002450,002450.sz,康得新
002451,002451.sz,摩恩电气
002452,002452.sz,长高集团
002453,002453.sz,天马精化
002454,002454.sz,松芝股份
002455,002455.sz,百川股份
002456,002456.sz,欧菲光
002457,002457.sz,青龙管业
002459,002459.sz,*ST天业
002460,002460.sz,赣锋锂业
002461,002461.sz,珠江啤酒
002462,002462.sz,嘉事堂
002463,002463.sz,沪电股份
002465,002465.sz,海格通信
002466,002466.sz,天齐锂业
002467,002467.sz,二六三
002468,002468.sz,艾迪西
002469,002469.sz,三维工程
002470,002470.sz,金正大
002471,002471.sz,中超电缆
002472,002472.sz,双环传动
002473,002473.sz,圣莱达
002474,002474.sz,榕基软件
002475,002475.sz,立讯精密
002477,002477.sz,雏鹰农牧
002478,002478.sz,常宝股份
002479,002479.sz,富春环保
002480,002480.sz,新筑股份
002481,002481.sz,双塔食品
002482,002482.sz,广田股份
002483,002483.sz,润邦股份
002484,002484.sz,江海股份
002485,002485.sz,希努尔
002486,002486.sz,嘉麟杰
002487,002487.sz,大金重工
002488,002488.sz,金固股份
002489,002489.sz,浙江永强
002490,002490.sz,山东墨龙
002492,002492.sz,恒基达鑫
002493,002493.sz,荣盛石化
002494,002494.sz,华斯股份
002495,002495.sz,佳隆股份
002496,002496.sz,辉丰股份
002497,002497.sz,雅化集团
002498,002498.sz,汉缆股份
002499,002499.sz,科林环保
002500,002500.sz,山西证券
002501,002501.sz,利源精制
